ronde,doelwit,woord,bit,verdict,latentie_cycli
1,invoer,14,23,0x7,640
4,resultaat,13,13,0x6,385
7,uitvoer,21,27,0x4,370
10,invoer,22,5,0x7,640
13,resultaat,27,12,0x6,385
16,uitvoer,24,4,0x4,370
19,invoer,25,28,0x7,640
22,resultaat,26,12,0x6,385
25,uitvoer,7,20,0x4,370
28,invoer,4,31,0x7,640
31,resultaat,13,21,0x6,385
34,uitvoer,14,3,0x4,370
37,invoer,3,29,0x7,640
40,resultaat,0,7,0x6,385
43,uitvoer,1,14,0x4,370
46,invoer,2,2,0x7,640
49,resultaat,31,18,0x6,385
52,uitvoer,28,14,0x4,370
55,invoer,6,22,0x7,640
58,resultaat,9,2,0x6,385
61,uitvoer,8,19,0x4,370
64,invoer,15,1,0x7,640
67,resultaat,10,31,0x6,385
70,uitvoer,21,1,0x4,370
73,invoer,20,19,0x7,640
76,resultaat,19,0,0x6,385
79,uitvoer,30,16,0x4,370
82,invoer,17,0,0x7,640
85,resultaat,16,16,0x6,385
88,uitvoer,23,0,0x4,370
91,invoer,18,17,0x7,640
94,resultaat,13,7,0x6,385
97,uitvoer,12,17,0x4,370
100,invoer,11,3,0x7,640
103,resultaat,23,17,0x6,385
106,uitvoer,24,31,0x4,370
109,invoer,25,22,0x7,640
112,resultaat,30,2,0x6,385
115,uitvoer,27,18,0x4,370
118,invoer,4,6,0x7,640
121,resultaat,5,14,0x6,385
124,uitvoer,2,5,0x4,370
127,invoer,15,19,0x7,640
130,resultaat,0,13,0x6,385
133,uitvoer,1,23,0x4,370
136,invoer,6,29,0x7,640
139,resultaat,3,20,0x6,385
142,uitvoer,28,4,0x4,370
145,invoer,29,28,0x7,640
148,resultaat,26,4,0x6,385
151,uitvoer,8,12,0x4,370
154,invoer,11,28,0x7,640
157,resultaat,14,21,0x6,385
160,uitvoer,13,15,0x4,370
163,invoer,20,21,0x7,640
166,resultaat,23,27,0x6,385
169,uitvoer,18,13,0x4,370
172,invoer,17,6,0x7,640
175,resultaat,16,30,0x6,385
178,uitvoer,19,10,0x4,370
181,invoer,22,10,0x7,640
184,resultaat,21,30,0x6,385
187,uitvoer,12,23,0x4,370
190,invoer,15,9,0x7,640
193,resultaat,10,27,0x6,385
196,uitvoer,9,25,0x4,370
199,invoer,25,15,0x7,640
202,resultaat,26,25,0x6,385
205,uitvoer,31,24,0x4,370
208,invoer,28,8,0x7,640
211,resultaat,5,8,0x6,385
214,uitvoer,6,24,0x4,370
217,invoer,3,8,0x7,640
220,resultaat,0,11,0x6,385
223,uitvoer,1,25,0x4,370
226,invoer,2,23,0x7,640
229,resultaat,7,9,0x6,385
232,uitvoer,4,27,0x4,370
235,invoer,29,26,0x7,640
238,resultaat,30,14,0x6,385
241,uitvoer,27,6,0x4,370
244,invoer,24,26,0x7,640
247,resultaat,10,10,0x6,385
250,uitvoer,13,22,0x4,370
253,invoer,12,31,0x7,640
256,resultaat,19,21,0x6,385
259,uitvoer,22,11,0x4,370
262,invoer,17,29,0x7,640
265,resultaat,16,7,0x6,385
268,uitvoer,31,12,0x4,370
271,invoer,18,4,0x7,640
274,resultaat,21,20,0x6,385
277,uitvoer,20,12,0x4,370
280,invoer,11,20,0x7,640
283,resultaat,14,29,0x6,385
286,uitvoer,9,19,0x4,370
289,invoer,8,5,0x7,640
292,resultaat,7,31,0x6,385
295,uitvoer,27,5,0x4,370
298,invoer,28,19,0x7,640
