datum_iso,serie,bordtype,bordnaam,poort,soort,run,geldig,reden,pass_of_fase,iteraties,total_ticks,score_it_per_s,crcfinal,gevalideerd,score_regel,logbestand,log_sha256
2026-08-15T05:48:55,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,1,ja,,A,20000,34202584,584.751140,0x382f,ja,CoreMark 1.0 : 584.751140 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run01_055007.txt,a7e1507f728a4e861d2f2ca1df32fa0df2942bea022bd4e7d995a95c4e76151b
2026-08-15T05:48:55,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,1,ja,,B,20000,34184433,585.061627,0x382f,ja,CoreMark 1.0 : 585.061627 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run01_055007.txt,a7e1507f728a4e861d2f2ca1df32fa0df2942bea022bd4e7d995a95c4e76151b
2026-08-15T05:50:07,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,2,ja,,A,20000,34202584,584.751140,0x382f,ja,CoreMark 1.0 : 584.751140 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run02_055118.txt,9ad8c21cfe8e75f89a54edcd4f2b0f81c026e8b0b6ccd0a0732842b483d70828
2026-08-15T05:50:07,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,2,ja,,B,20000,34184434,585.061610,0x382f,ja,CoreMark 1.0 : 585.061610 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run02_055118.txt,9ad8c21cfe8e75f89a54edcd4f2b0f81c026e8b0b6ccd0a0732842b483d70828
2026-08-15T05:51:18,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,3,ja,,A,20000,34202575,584.751294,0x382f,ja,CoreMark 1.0 : 584.751294 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run03_055230.txt,c8277bbe1c2aa075ef3ce607a57ad4f46a9fcc51d41de2679acaf7b4cb917ef3
2026-08-15T05:51:18,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,3,ja,,B,20000,34184433,585.061627,0x382f,ja,CoreMark 1.0 : 585.061627 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run03_055230.txt,c8277bbe1c2aa075ef3ce607a57ad4f46a9fcc51d41de2679acaf7b4cb917ef3
2026-08-15T05:52:30,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,4,ja,,A,20000,34202584,584.751140,0x382f,ja,CoreMark 1.0 : 584.751140 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run04_055341.txt,fd3fc0c6990111c802b000c708457e93d7b9e06cc2ee88db9b7654ed126556d0
2026-08-15T05:52:30,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,4,ja,,B,20000,34184436,585.061576,0x382f,ja,CoreMark 1.0 : 585.061576 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run04_055341.txt,fd3fc0c6990111c802b000c708457e93d7b9e06cc2ee88db9b7654ed126556d0
2026-08-15T05:53:41,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,5,ja,,A,20000,34202583,584.751158,0x382f,ja,CoreMark 1.0 : 584.751158 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run05_055453.txt,606950c433558529b983f2df8dd82c784c12916a14c9cd6ccfece420e7e6ce4e
2026-08-15T05:53:41,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,04,5,ja,,B,20000,34184436,585.061576,0x382f,ja,CoreMark 1.0 : 585.061576 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run05_055453.txt,606950c433558529b983f2df8dd82c784c12916a14c9cd6ccfece420e7e6ce4e
