datum_iso,serie,bordtype,bordnaam,poort,soort,run,geldig,reden,pass_of_fase,contexts,segmenten,seg_iters,iteraties,som_ticks_us,wall_us,score_it_per_s,score_effectief,error_regels,mismatches,zelftest,logbestand,log_sha256
2026-08-15T06:39:58,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,07,1,ja,,onbeschermd_vol,1,1,20000,20000,34202519,34246114,584.7523,584.0079,0,0,nvt,run01_064241.txt,3c075bbc8db2ba7b162f2a1ee71f8243f4b44ab1e63d95cd86cef2bd92273431
2026-08-15T06:39:58,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,07,1,ja,,beschermd_duaal_vol,2,1,20000,20000,42983167,43036185,465.2984,464.7252,0,0,nvt,run01_064241.txt,3c075bbc8db2ba7b162f2a1ee71f8243f4b44ab1e63d95cd86cef2bd92273431
2026-08-15T06:39:58,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,07,1,ja,,onbeschermd_segment,1,400,50,20000,34213945,34419421,584.5570,581.0673,0,0,nvt,run01_064241.txt,3c075bbc8db2ba7b162f2a1ee71f8243f4b44ab1e63d95cd86cef2bd92273431
2026-08-15T06:39:58,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,07,1,ja,,beschermd_segment,2,400,50,20000,43236859,43490339,462.5683,459.8722,0,0,nvt,run01_064241.txt,3c075bbc8db2ba7b162f2a1ee71f8243f4b44ab1e63d95cd86cef2bd92273431
2026-08-15T06:39:58,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,07,1,ja,,zelftest_segment,2,10,50,500,1080588,1087347,462.7110,459.8348,0,1,GESLAAGD,run01_064241.txt,3c075bbc8db2ba7b162f2a1ee71f8243f4b44ab1e63d95cd86cef2bd92273431
2026-08-15T06:42:41,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,07,2,ja,,onbeschermd_vol,1,1,20000,20000,34202523,34246127,584.7522,584.0076,0,0,nvt,run02_064524.txt,5dafaa6fd686eeb10221fcd5005962746b95cf7eb9d39f9dadc7ab7a4e9f1fbf
2026-08-15T06:42:41,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,07,2,ja,,beschermd_duaal_vol,2,1,20000,20000,42984075,43037093,465.2886,464.7154,0,0,nvt,run02_064524.txt,5dafaa6fd686eeb10221fcd5005962746b95cf7eb9d39f9dadc7ab7a4e9f1fbf
2026-08-15T06:42:41,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,07,2,ja,,onbeschermd_segment,1,400,50,20000,34213935,34419397,584.5571,581.0677,0,0,nvt,run02_064524.txt,5dafaa6fd686eeb10221fcd5005962746b95cf7eb9d39f9dadc7ab7a4e9f1fbf
2026-08-15T06:42:41,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,07,2,ja,,beschermd_segment,2,400,50,20000,43241414,43494704,462.5196,459.8261,0,0,nvt,run02_064524.txt,5dafaa6fd686eeb10221fcd5005962746b95cf7eb9d39f9dadc7ab7a4e9f1fbf
2026-08-15T06:42:41,CC:BA:97:14:2B:28,devkitc1,DK1,COM1,07,2,ja,,zelftest_segment,2,10,50,500,1080832,1087618,462.6066,459.7202,0,1,GESLAAGD,run02_064524.txt,5dafaa6fd686eeb10221fcd5005962746b95cf7eb9d39f9dadc7ab7a4e9f1fbf
