datum_iso,serie,bordtype,bordnaam,poort,soort,run,geldig,reden,pass_of_fase,iteraties,total_ticks,score_it_per_s,crcfinal,gevalideerd,score_regel,logbestand,log_sha256
2026-08-15T05:55:17,CC:BA:97:14:03:24,devkitc1,DK2,COM2,04,1,ja,,A,20000,34202584,584.751140,0x382f,ja,CoreMark 1.0 : 584.751140 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run01_055628.txt,98268452fe526b23ca82d214a9779430e54684088e5d2260dcd28dc106cf33cb
2026-08-15T05:55:17,CC:BA:97:14:03:24,devkitc1,DK2,COM2,04,1,ja,,B,20000,34184436,585.061576,0x382f,ja,CoreMark 1.0 : 585.061576 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run01_055628.txt,98268452fe526b23ca82d214a9779430e54684088e5d2260dcd28dc106cf33cb
2026-08-15T05:56:28,CC:BA:97:14:03:24,devkitc1,DK2,COM2,04,2,ja,,A,20000,34202584,584.751140,0x382f,ja,CoreMark 1.0 : 584.751140 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run02_055740.txt,ebc5a48b928a24fa1aabdc879bb69d26679783d7ee910fc5ff8405486816639c
2026-08-15T05:56:28,CC:BA:97:14:03:24,devkitc1,DK2,COM2,04,2,ja,,B,20000,34184434,585.061610,0x382f,ja,CoreMark 1.0 : 585.061610 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run02_055740.txt,ebc5a48b928a24fa1aabdc879bb69d26679783d7ee910fc5ff8405486816639c
2026-08-15T05:57:40,CC:BA:97:14:03:24,devkitc1,DK2,COM2,04,3,ja,,A,20000,34202584,584.751140,0x382f,ja,CoreMark 1.0 : 584.751140 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run03_055851.txt,a18bf50e147e6e0ec557fada9a549cd546d9f53f1694ea48e802e71d62e17b6b
2026-08-15T05:57:40,CC:BA:97:14:03:24,devkitc1,DK2,COM2,04,3,ja,,B,20000,34184435,585.061593,0x382f,ja,CoreMark 1.0 : 585.061593 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run03_055851.txt,a18bf50e147e6e0ec557fada9a549cd546d9f53f1694ea48e802e71d62e17b6b
2026-08-15T05:58:51,CC:BA:97:14:03:24,devkitc1,DK2,COM2,04,4,ja,,A,20000,34202584,584.751140,0x382f,ja,CoreMark 1.0 : 584.751140 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run04_060003.txt,c62819ac90a9dca6b6f3ae86e8dfc7944631c51de0b963cfacedfa6760e9f8f4
2026-08-15T05:58:51,CC:BA:97:14:03:24,devkitc1,DK2,COM2,04,4,ja,,B,20000,34184435,585.061593,0x382f,ja,CoreMark 1.0 : 585.061593 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run04_060003.txt,c62819ac90a9dca6b6f3ae86e8dfc7944631c51de0b963cfacedfa6760e9f8f4
2026-08-15T06:00:03,CC:BA:97:14:03:24,devkitc1,DK2,COM2,04,5,ja,,A,20000,34202584,584.751140,0x382f,ja,CoreMark 1.0 : 584.751140 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run05_060114.txt,abddba48a8914c9e7ea76521fc05a6f9f9956de3b3e0d37260e8eebbd21f8f89
2026-08-15T06:00:03,CC:BA:97:14:03:24,devkitc1,DK2,COM2,04,5,ja,,B,20000,34184433,585.061627,0x382f,ja,CoreMark 1.0 : 585.061627 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run05_060114.txt,abddba48a8914c9e7ea76521fc05a6f9f9956de3b3e0d37260e8eebbd21f8f89
