datum_iso,serie,bordtype,bordnaam,poort,soort,run,geldig,reden,pass_of_fase,contexts,segmenten,seg_iters,iteraties,som_ticks_us,wall_us,score_it_per_s,score_effectief,error_regels,mismatches,zelftest,logbestand,log_sha256
2026-08-15T06:53:56,CC:BA:97:14:03:24,devkitc1,DK2,COM2,07,1,ja,,onbeschermd_vol,1,1,20000,20000,34202520,34246122,584.7522,584.0077,0,0,nvt,run01_065639.txt,d2911f0fb89f6c6ac4adff39a2fd3f1a04249be71b023e9e1f36d0e95d2d39e5
2026-08-15T06:53:56,CC:BA:97:14:03:24,devkitc1,DK2,COM2,07,1,ja,,beschermd_duaal_vol,2,1,20000,20000,42983118,43036135,465.2990,464.7257,0,0,nvt,run01_065639.txt,d2911f0fb89f6c6ac4adff39a2fd3f1a04249be71b023e9e1f36d0e95d2d39e5
2026-08-15T06:53:56,CC:BA:97:14:03:24,devkitc1,DK2,COM2,07,1,ja,,onbeschermd_segment,1,400,50,20000,34213935,34419408,584.5571,581.0675,0,0,nvt,run01_065639.txt,d2911f0fb89f6c6ac4adff39a2fd3f1a04249be71b023e9e1f36d0e95d2d39e5
2026-08-15T06:53:56,CC:BA:97:14:03:24,devkitc1,DK2,COM2,07,1,ja,,beschermd_segment,2,400,50,20000,43247035,43500421,462.4594,459.7657,0,0,nvt,run01_065639.txt,d2911f0fb89f6c6ac4adff39a2fd3f1a04249be71b023e9e1f36d0e95d2d39e5
2026-08-15T06:53:56,CC:BA:97:14:03:24,devkitc1,DK2,COM2,07,1,ja,,zelftest_segment,2,10,50,500,1080740,1087533,462.6460,459.7562,0,1,GESLAAGD,run01_065639.txt,d2911f0fb89f6c6ac4adff39a2fd3f1a04249be71b023e9e1f36d0e95d2d39e5
2026-08-15T06:56:39,CC:BA:97:14:03:24,devkitc1,DK2,COM2,07,2,ja,,onbeschermd_vol,1,1,20000,20000,34202523,34246120,584.7522,584.0078,0,0,nvt,run02_065922.txt,b6751e64b9ab417b2b15f8dc009865918ba1c537af428f72984d9c38ffa472b6
2026-08-15T06:56:39,CC:BA:97:14:03:24,devkitc1,DK2,COM2,07,2,ja,,beschermd_duaal_vol,2,1,20000,20000,42982391,43035406,465.3068,464.7336,0,0,nvt,run02_065922.txt,b6751e64b9ab417b2b15f8dc009865918ba1c537af428f72984d9c38ffa472b6
2026-08-15T06:56:39,CC:BA:97:14:03:24,devkitc1,DK2,COM2,07,2,ja,,onbeschermd_segment,1,400,50,20000,34213931,34419418,584.5572,581.0673,0,0,nvt,run02_065922.txt,b6751e64b9ab417b2b15f8dc009865918ba1c537af428f72984d9c38ffa472b6
2026-08-15T06:56:39,CC:BA:97:14:03:24,devkitc1,DK2,COM2,07,2,ja,,beschermd_segment,2,400,50,20000,43239055,43492295,462.5448,459.8516,0,0,nvt,run02_065922.txt,b6751e64b9ab417b2b15f8dc009865918ba1c537af428f72984d9c38ffa472b6
2026-08-15T06:56:39,CC:BA:97:14:03:24,devkitc1,DK2,COM2,07,2,ja,,zelftest_segment,2,10,50,500,1081357,1088148,462.3820,459.4963,0,1,GESLAAGD,run02_065922.txt,b6751e64b9ab417b2b15f8dc009865918ba1c537af428f72984d9c38ffa472b6
2026-08-15T06:59:22,CC:BA:97:14:03:24,devkitc1,DK2,COM2,07,3,ja,,onbeschermd_vol,1,1,20000,20000,34202523,34246180,584.7522,584.0067,0,0,nvt,run03_070205.txt,07c129bfbf8b8b7d57b3d26a1616291607356eaa2c3466c326f33821f504c538
2026-08-15T06:59:22,CC:BA:97:14:03:24,devkitc1,DK2,COM2,07,3,ja,,beschermd_duaal_vol,2,1,20000,20000,42977731,43030750,465.3573,464.7839,0,0,nvt,run03_070205.txt,07c129bfbf8b8b7d57b3d26a1616291607356eaa2c3466c326f33821f504c538
2026-08-15T06:59:22,CC:BA:97:14:03:24,devkitc1,DK2,COM2,07,3,ja,,onbeschermd_segment,1,400,50,20000,34213935,34419412,584.5571,581.0675,0,0,nvt,run03_070205.txt,07c129bfbf8b8b7d57b3d26a1616291607356eaa2c3466c326f33821f504c538
