datum_iso,serie,bordtype,bordnaam,poort,soort,run,geldig,reden,pass_of_fase,contexts,segmenten,seg_iters,iteraties,som_ticks_us,wall_us,score_it_per_s,score_effectief,error_regels,mismatches,zelftest,logbestand,log_sha256
2026-08-15T07:07:56,CC:BA:97:13:FD:68,devkitc1,DK3,COM3,07,1,ja,,onbeschermd_vol,1,1,20000,20000,34202522,34246124,584.7522,584.0077,0,0,nvt,run01_071039.txt,57e6555d659f329d9b31234555f678e10d182bdb6b7ef1148750c03a4783f3d8
2026-08-15T07:07:56,CC:BA:97:13:FD:68,devkitc1,DK3,COM3,07,1,ja,,beschermd_duaal_vol,2,1,20000,20000,42988898,43041920,465.2364,464.6633,0,0,nvt,run01_071039.txt,57e6555d659f329d9b31234555f678e10d182bdb6b7ef1148750c03a4783f3d8
2026-08-15T07:07:56,CC:BA:97:13:FD:68,devkitc1,DK3,COM3,07,1,ja,,onbeschermd_segment,1,400,50,20000,34213926,34419407,584.5573,581.0675,0,0,nvt,run01_071039.txt,57e6555d659f329d9b31234555f678e10d182bdb6b7ef1148750c03a4783f3d8
2026-08-15T07:07:56,CC:BA:97:13:FD:68,devkitc1,DK3,COM3,07,1,ja,,beschermd_segment,2,400,50,20000,43241472,43494803,462.5189,459.8251,0,0,nvt,run01_071039.txt,57e6555d659f329d9b31234555f678e10d182bdb6b7ef1148750c03a4783f3d8
2026-08-15T07:07:56,CC:BA:97:13:FD:68,devkitc1,DK3,COM3,07,1,ja,,zelftest_segment,2,10,50,500,1081415,1088186,462.3572,459.4803,0,1,GESLAAGD,run01_071039.txt,57e6555d659f329d9b31234555f678e10d182bdb6b7ef1148750c03a4783f3d8
2026-08-15T07:10:39,CC:BA:97:13:FD:68,devkitc1,DK3,COM3,07,2,ja,,onbeschermd_vol,1,1,20000,20000,34202517,34246118,584.7523,584.0078,0,0,nvt,run02_071322.txt,2c82fd08dc7c1b617ce9cae86a90d03cc893433f237cad2a2e80e7f117db6863
2026-08-15T07:10:39,CC:BA:97:13:FD:68,devkitc1,DK3,COM3,07,2,ja,,beschermd_duaal_vol,2,1,20000,20000,42977687,43030707,465.3578,464.7844,0,0,nvt,run02_071322.txt,2c82fd08dc7c1b617ce9cae86a90d03cc893433f237cad2a2e80e7f117db6863
2026-08-15T07:10:39,CC:BA:97:13:FD:68,devkitc1,DK3,COM3,07,2,ja,,onbeschermd_segment,1,400,50,20000,34213929,34419407,584.5572,581.0675,0,0,nvt,run02_071322.txt,2c82fd08dc7c1b617ce9cae86a90d03cc893433f237cad2a2e80e7f117db6863
2026-08-15T07:10:39,CC:BA:97:13:FD:68,devkitc1,DK3,COM3,07,2,ja,,beschermd_segment,2,400,50,20000,43240187,43493563,462.5327,459.8382,0,0,nvt,run02_071322.txt,2c82fd08dc7c1b617ce9cae86a90d03cc893433f237cad2a2e80e7f117db6863
2026-08-15T07:10:39,CC:BA:97:13:FD:68,devkitc1,DK3,COM3,07,2,ja,,zelftest_segment,2,10,50,500,1080879,1087658,462.5865,459.7033,0,1,GESLAAGD,run02_071322.txt,2c82fd08dc7c1b617ce9cae86a90d03cc893433f237cad2a2e80e7f117db6863
