datum_iso,serie,bordtype,bordnaam,poort,soort,run,geldig,reden,pass_of_fase,contexts,segmenten,seg_iters,iteraties,som_ticks_us,wall_us,score_it_per_s,score_effectief,error_regels,mismatches,zelftest,logbestand,log_sha256
2026-08-15T07:21:55,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,1,ja,,onbeschermd_vol,1,1,20000,20000,34202518,34246120,584.7523,584.0078,0,0,nvt,run01_072438.txt,4558f769ca21ffe48537d3bc1ba3c1b835f7fb8b196166a3d0180312d2036a42
2026-08-15T07:21:55,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,1,ja,,beschermd_duaal_vol,2,1,20000,20000,42981315,43034334,465.3185,464.7452,0,0,nvt,run01_072438.txt,4558f769ca21ffe48537d3bc1ba3c1b835f7fb8b196166a3d0180312d2036a42
2026-08-15T07:21:55,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,1,ja,,onbeschermd_segment,1,400,50,20000,34213929,34419407,584.5572,581.0675,0,0,nvt,run01_072438.txt,4558f769ca21ffe48537d3bc1ba3c1b835f7fb8b196166a3d0180312d2036a42
2026-08-15T07:21:55,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,1,ja,,beschermd_segment,2,400,50,20000,43245691,43498677,462.4738,459.7841,0,0,nvt,run01_072438.txt,4558f769ca21ffe48537d3bc1ba3c1b835f7fb8b196166a3d0180312d2036a42
2026-08-15T07:21:55,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,1,ja,,zelftest_segment,2,10,50,500,1080933,1087717,462.5634,459.6784,0,1,GESLAAGD,run01_072438.txt,4558f769ca21ffe48537d3bc1ba3c1b835f7fb8b196166a3d0180312d2036a42
2026-08-15T07:24:38,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,2,ja,,onbeschermd_vol,1,1,20000,20000,34202523,34246121,584.7522,584.0077,0,0,nvt,run02_072721.txt,464e0b72ca953cbe0233fc3a53db4a39695aa835bb86073eb285b9756d9cdb24
2026-08-15T07:24:38,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,2,ja,,beschermd_duaal_vol,2,1,20000,20000,42981434,43034453,465.3172,464.7439,0,0,nvt,run02_072721.txt,464e0b72ca953cbe0233fc3a53db4a39695aa835bb86073eb285b9756d9cdb24
2026-08-15T07:24:38,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,2,ja,,onbeschermd_segment,1,400,50,20000,34213936,34419413,584.5571,581.0674,0,0,nvt,run02_072721.txt,464e0b72ca953cbe0233fc3a53db4a39695aa835bb86073eb285b9756d9cdb24
2026-08-15T07:24:38,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,2,ja,,beschermd_segment,2,400,50,20000,43246543,43499911,462.4647,459.7711,0,0,nvt,run02_072721.txt,464e0b72ca953cbe0233fc3a53db4a39695aa835bb86073eb285b9756d9cdb24
2026-08-15T07:24:38,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,2,ja,,zelftest_segment,2,10,50,500,1080951,1087729,462.5557,459.6733,0,1,GESLAAGD,run02_072721.txt,464e0b72ca953cbe0233fc3a53db4a39695aa835bb86073eb285b9756d9cdb24
2026-08-15T07:27:21,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,3,ja,,onbeschermd_vol,1,1,20000,20000,34202522,34246119,584.7522,584.0078,0,0,nvt,run03_073004.txt,cf29607b07d817cf37c8b4813d74949ff629245fb0044c36903da19c3ac2f617
2026-08-15T07:27:21,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,3,ja,,beschermd_duaal_vol,2,1,20000,20000,42978997,43032010,465.3436,464.7703,0,0,nvt,run03_073004.txt,cf29607b07d817cf37c8b4813d74949ff629245fb0044c36903da19c3ac2f617
2026-08-15T07:27:21,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,3,ja,,onbeschermd_segment,1,400,50,20000,34213930,34419402,584.5572,581.0676,0,0,nvt,run03_073004.txt,cf29607b07d817cf37c8b4813d74949ff629245fb0044c36903da19c3ac2f617
2026-08-15T07:27:21,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,3,ja,,beschermd_segment,2,400,50,20000,43233046,43486229,462.6091,459.9157,0,0,nvt,run03_073004.txt,cf29607b07d817cf37c8b4813d74949ff629245fb0044c36903da19c3ac2f617
2026-08-15T07:27:21,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,3,ja,,zelftest_segment,2,10,50,500,1080690,1087445,462.6674,459.7934,0,1,GESLAAGD,run03_073004.txt,cf29607b07d817cf37c8b4813d74949ff629245fb0044c36903da19c3ac2f617
2026-08-15T07:30:04,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,4,ja,,onbeschermd_vol,1,1,20000,20000,34202522,34246133,584.7522,584.0075,0,0,nvt,run04_073247.txt,b520dbae06dd10f583c4b316a67f4ead88d3b3679d18607e243996402aaf7234
2026-08-15T07:30:04,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,4,ja,,beschermd_duaal_vol,2,1,20000,20000,42981315,43034380,465.3185,464.7447,0,0,nvt,run04_073247.txt,b520dbae06dd10f583c4b316a67f4ead88d3b3679d18607e243996402aaf7234
2026-08-15T07:30:04,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,4,ja,,onbeschermd_segment,1,400,50,20000,34213942,34419404,584.5570,581.0676,0,0,nvt,run04_073247.txt,b520dbae06dd10f583c4b316a67f4ead88d3b3679d18607e243996402aaf7234
2026-08-15T07:30:04,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,4,ja,,beschermd_segment,2,400,50,20000,43240214,43493479,462.5324,459.8390,0,0,nvt,run04_073247.txt,b520dbae06dd10f583c4b316a67f4ead88d3b3679d18607e243996402aaf7234
2026-08-15T07:30:04,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,4,ja,,zelftest_segment,2,10,50,500,1080772,1087551,462.6323,459.7486,0,1,GESLAAGD,run04_073247.txt,b520dbae06dd10f583c4b316a67f4ead88d3b3679d18607e243996402aaf7234
2026-08-15T07:32:47,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,5,ja,,onbeschermd_vol,1,1,20000,20000,34202518,34246113,584.7523,584.0079,0,0,nvt,run05_073530.txt,03db70bd02c050941d7f7b0a6b7135c2c22318a6a7cd578dc17fd6abc13c065a
2026-08-15T07:32:47,34:85:18:AC:73:C4,fri3d2024,F24A,COM4,07,5,ja,,beschermd_duaal_vol,2,1,20000,20000,42982222,43035243,465.3087,464.7354,0,0,nvt,run05_073530.txt,03db70bd02c050941d7f7b0a6b7135c2c22318a6a7cd578dc17fd6abc13c065a
