datum_iso,serie,bordtype,bordnaam,poort,soort,run,geldig,reden,pass_of_fase,iteraties,total_ticks,score_it_per_s,crcfinal,gevalideerd,score_regel,logbestand,log_sha256
2026-08-15T06:20:51,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,04,1,ja,,A,20000,34202586,584.751106,0x382f,ja,CoreMark 1.0 : 584.751106 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run01_062203.txt,16558359a0ce713441307748d207460fe55510f8d8cf041cb9aee078a008e284
2026-08-15T06:20:51,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,04,1,ja,,B,20000,34184437,585.061559,0x382f,ja,CoreMark 1.0 : 585.061559 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run01_062203.txt,16558359a0ce713441307748d207460fe55510f8d8cf041cb9aee078a008e284
2026-08-15T06:22:03,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,04,2,ja,,A,20000,34202585,584.751123,0x382f,ja,CoreMark 1.0 : 584.751123 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run02_062315.txt,274f87ddd820dec657c62689dcb6545b480b9d8eac1bcfeb8adf92b6de59ab72
2026-08-15T06:22:03,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,04,2,ja,,B,20000,34184436,585.061576,0x382f,ja,CoreMark 1.0 : 585.061576 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run02_062315.txt,274f87ddd820dec657c62689dcb6545b480b9d8eac1bcfeb8adf92b6de59ab72
2026-08-15T06:23:15,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,04,3,ja,,A,20000,34202585,584.751123,0x382f,ja,CoreMark 1.0 : 584.751123 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run03_062426.txt,f1ea0f84f09e04906cb00d7851bf4afc437d69f7f5b5168f2316fb4b7bdd3f11
2026-08-15T06:23:15,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,04,3,ja,,B,20000,34184433,585.061627,0x382f,ja,CoreMark 1.0 : 585.061627 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run03_062426.txt,f1ea0f84f09e04906cb00d7851bf4afc437d69f7f5b5168f2316fb4b7bdd3f11
2026-08-15T06:24:26,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,04,4,ja,,A,20000,34202584,584.751140,0x382f,ja,CoreMark 1.0 : 584.751140 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run04_062538.txt,e8bc94ffec173f2351b2d55f2cb53ec7b3bf9c76dc9ebb7a8cc68fd3af728cd7
2026-08-15T06:24:26,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,04,4,ja,,B,20000,34184434,585.061610,0x382f,ja,CoreMark 1.0 : 585.061610 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run04_062538.txt,e8bc94ffec173f2351b2d55f2cb53ec7b3bf9c76dc9ebb7a8cc68fd3af728cd7
2026-08-15T06:25:38,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,04,5,ja,,A,20000,34202585,584.751123,0x382f,ja,CoreMark 1.0 : 584.751123 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run05_062650.txt,f1ea0f84f09e04906cb00d7851bf4afc437d69f7f5b5168f2316fb4b7bdd3f11
2026-08-15T06:25:38,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,04,5,ja,,B,20000,34184433,585.061627,0x382f,ja,CoreMark 1.0 : 585.061627 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run05_062650.txt,f1ea0f84f09e04906cb00d7851bf4afc437d69f7f5b5168f2316fb4b7bdd3f11
