datum_iso,serie,bordtype,bordnaam,poort,soort,run,geldig,reden,pass_of_fase,contexts,segmenten,seg_iters,iteraties,som_ticks_us,wall_us,score_it_per_s,score_effectief,error_regels,mismatches,zelftest,logbestand,log_sha256
2026-08-15T07:50:01,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,1,ja,,onbeschermd_vol,1,1,20000,20000,34202522,34246132,584.7522,584.0076,0,0,nvt,run01_075244.txt,83356b8950cdcc6522d4fdbda77c065799547b7709a40390b7f93139b781d57f
2026-08-15T07:50:01,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,1,ja,,beschermd_duaal_vol,2,1,20000,20000,42982547,43035569,465.3051,464.7319,0,0,nvt,run01_075244.txt,83356b8950cdcc6522d4fdbda77c065799547b7709a40390b7f93139b781d57f
2026-08-15T07:50:01,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,1,ja,,onbeschermd_segment,1,400,50,20000,34213918,34419402,584.5574,581.0676,0,0,nvt,run01_075244.txt,83356b8950cdcc6522d4fdbda77c065799547b7709a40390b7f93139b781d57f
2026-08-15T07:50:01,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,1,ja,,beschermd_segment,2,400,50,20000,43237531,43490899,462.5611,459.8663,0,0,nvt,run01_075244.txt,83356b8950cdcc6522d4fdbda77c065799547b7709a40390b7f93139b781d57f
2026-08-15T07:50:01,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,1,ja,,zelftest_segment,2,10,50,500,1080962,1087726,462.5509,459.6746,0,1,GESLAAGD,run01_075244.txt,83356b8950cdcc6522d4fdbda77c065799547b7709a40390b7f93139b781d57f
2026-08-15T07:52:44,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,2,ja,,onbeschermd_vol,1,1,20000,20000,34202522,34246121,584.7522,584.0077,0,0,nvt,run02_075527.txt,d79cc7508d572011f638fece2458e145784c5e298f0d6fa247ddc6856079d8af
2026-08-15T07:52:44,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,2,ja,,beschermd_duaal_vol,2,1,20000,20000,42981758,43034775,465.3137,464.7404,0,0,nvt,run02_075527.txt,d79cc7508d572011f638fece2458e145784c5e298f0d6fa247ddc6856079d8af
2026-08-15T07:52:44,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,2,ja,,onbeschermd_segment,1,400,50,20000,34213929,34419419,584.5572,581.0673,0,0,nvt,run02_075527.txt,d79cc7508d572011f638fece2458e145784c5e298f0d6fa247ddc6856079d8af
2026-08-15T07:52:44,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,2,ja,,beschermd_segment,2,400,50,20000,43239824,43493103,462.5366,459.8430,0,0,nvt,run02_075527.txt,d79cc7508d572011f638fece2458e145784c5e298f0d6fa247ddc6856079d8af
2026-08-15T07:52:44,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,2,ja,,zelftest_segment,2,10,50,500,1081203,1087960,462.4478,459.5757,0,1,GESLAAGD,run02_075527.txt,d79cc7508d572011f638fece2458e145784c5e298f0d6fa247ddc6856079d8af
2026-08-15T07:55:27,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,3,ja,,onbeschermd_vol,1,1,20000,20000,34202521,34246127,584.7522,584.0076,0,0,nvt,run03_075811.txt,f0ca362247d1f157f3ab32155870264f9c8e99292c70057164a906ad178b825c
2026-08-15T07:55:27,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,3,ja,,beschermd_duaal_vol,2,1,20000,20000,42977074,43030094,465.3644,464.7910,0,0,nvt,run03_075811.txt,f0ca362247d1f157f3ab32155870264f9c8e99292c70057164a906ad178b825c
2026-08-15T07:55:27,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,3,ja,,onbeschermd_segment,1,400,50,20000,34213936,34419428,584.5571,581.0672,0,0,nvt,run03_075811.txt,f0ca362247d1f157f3ab32155870264f9c8e99292c70057164a906ad178b825c
2026-08-15T07:55:27,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,3,ja,,beschermd_segment,2,400,50,20000,43245854,43499170,462.4721,459.7789,0,0,nvt,run03_075811.txt,f0ca362247d1f157f3ab32155870264f9c8e99292c70057164a906ad178b825c
2026-08-15T07:55:27,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,3,ja,,zelftest_segment,2,10,50,500,1081055,1087808,462.5112,459.6399,0,1,GESLAAGD,run03_075811.txt,f0ca362247d1f157f3ab32155870264f9c8e99292c70057164a906ad178b825c
2026-08-15T07:58:11,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,4,ja,,onbeschermd_vol,1,1,20000,20000,34202514,34246181,584.7523,584.0067,0,0,nvt,run04_080054.txt,db7658ac56aa24f9d06b9356ee21482e828d84d34b31cc858242d3d8813be29e
2026-08-15T07:58:11,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,4,ja,,beschermd_duaal_vol,2,1,20000,20000,42977185,43030204,465.3632,464.7898,0,0,nvt,run04_080054.txt,db7658ac56aa24f9d06b9356ee21482e828d84d34b31cc858242d3d8813be29e
2026-08-15T07:58:11,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,4,ja,,onbeschermd_segment,1,400,50,20000,34213944,34419421,584.5570,581.0673,0,0,nvt,run04_080054.txt,db7658ac56aa24f9d06b9356ee21482e828d84d34b31cc858242d3d8813be29e
2026-08-15T07:58:11,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,4,ja,,beschermd_segment,2,400,50,20000,43241305,43494563,462.5207,459.8276,0,0,nvt,run04_080054.txt,db7658ac56aa24f9d06b9356ee21482e828d84d34b31cc858242d3d8813be29e
2026-08-15T07:58:11,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,4,ja,,zelftest_segment,2,10,50,500,1080959,1087727,462.5522,459.6742,0,1,GESLAAGD,run04_080054.txt,db7658ac56aa24f9d06b9356ee21482e828d84d34b31cc858242d3d8813be29e
2026-08-15T08:00:54,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,5,ja,,onbeschermd_vol,1,1,20000,20000,34202522,34246122,584.7522,584.0077,0,0,nvt,run05_080337.txt,5e25813126abe10d13472302fe861374442d2fe88519571e3ec966b58e66d386
2026-08-15T08:00:54,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,5,ja,,beschermd_duaal_vol,2,1,20000,20000,42978648,43031667,465.3474,464.7740,0,0,nvt,run05_080337.txt,5e25813126abe10d13472302fe861374442d2fe88519571e3ec966b58e66d386
2026-08-15T08:00:54,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,5,ja,,onbeschermd_segment,1,400,50,20000,34213936,34419411,584.5571,581.0675,0,0,nvt,run05_080337.txt,5e25813126abe10d13472302fe861374442d2fe88519571e3ec966b58e66d386
2026-08-15T08:00:54,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,5,ja,,beschermd_segment,2,400,50,20000,43241788,43495109,462.5156,459.8218,0,0,nvt,run05_080337.txt,5e25813126abe10d13472302fe861374442d2fe88519571e3ec966b58e66d386
2026-08-15T08:00:54,DC:B4:D9:0B:7F:3C,fri3d2026,F26A,COM7,07,5,ja,,zelftest_segment,2,10,50,500,1081070,1087841,462.5047,459.6260,0,1,GESLAAGD,run05_080337.txt,5e25813126abe10d13472302fe861374442d2fe88519571e3ec966b58e66d386
