datum_iso,serie,bordtype,bordnaam,poort,soort,run,geldig,reden,pass_of_fase,contexts,segmenten,seg_iters,iteraties,som_ticks_us,wall_us,score_it_per_s,score_effectief,error_regels,mismatches,zelftest,logbestand,log_sha256
2026-08-15T08:03:59,1C:DB:D4:9C:E2:48,fri3d2026,F26B,COM8,07,1,ja,,onbeschermd_vol,1,1,20000,20000,34202519,34246119,584.7523,584.0078,0,0,nvt,run01_080642.txt,9e7234b03c57c201221e35675f16ec7042bc3fa19e27a4294244bdf867fd646c
2026-08-15T08:03:59,1C:DB:D4:9C:E2:48,fri3d2026,F26B,COM8,07,1,ja,,beschermd_duaal_vol,2,1,20000,20000,42978870,43031918,465.3449,464.7713,0,0,nvt,run01_080642.txt,9e7234b03c57c201221e35675f16ec7042bc3fa19e27a4294244bdf867fd646c
2026-08-15T08:03:59,1C:DB:D4:9C:E2:48,fri3d2026,F26B,COM8,07,1,ja,,onbeschermd_segment,1,400,50,20000,34213922,34419415,584.5574,581.0674,0,0,nvt,run01_080642.txt,9e7234b03c57c201221e35675f16ec7042bc3fa19e27a4294244bdf867fd646c
2026-08-15T08:03:59,1C:DB:D4:9C:E2:48,fri3d2026,F26B,COM8,07,1,ja,,beschermd_segment,2,400,50,20000,43238226,43491608,462.5537,459.8588,0,0,nvt,run01_080642.txt,9e7234b03c57c201221e35675f16ec7042bc3fa19e27a4294244bdf867fd646c
2026-08-15T08:03:59,1C:DB:D4:9C:E2:48,fri3d2026,F26B,COM8,07,1,ja,,zelftest_segment,2,10,50,500,1081253,1088036,462.4265,459.5436,0,1,GESLAAGD,run01_080642.txt,9e7234b03c57c201221e35675f16ec7042bc3fa19e27a4294244bdf867fd646c
2026-08-15T08:06:42,1C:DB:D4:9C:E2:48,fri3d2026,F26B,COM8,07,2,ja,,onbeschermd_vol,1,1,20000,20000,34202517,34246117,584.7523,584.0078,0,0,nvt,run02_080925.txt,fc85b5e0d6f10a765db1a4bec0d0eaec016b51a2e5f994fa9b7a6c7f8f193a6b
2026-08-15T08:06:42,1C:DB:D4:9C:E2:48,fri3d2026,F26B,COM8,07,2,ja,,beschermd_duaal_vol,2,1,20000,20000,42981437,43034460,465.3172,464.7438,0,0,nvt,run02_080925.txt,fc85b5e0d6f10a765db1a4bec0d0eaec016b51a2e5f994fa9b7a6c7f8f193a6b
2026-08-15T08:06:42,1C:DB:D4:9C:E2:48,fri3d2026,F26B,COM8,07,2,ja,,onbeschermd_segment,1,400,50,20000,34213919,34419418,584.5574,581.0673,0,0,nvt,run02_080925.txt,fc85b5e0d6f10a765db1a4bec0d0eaec016b51a2e5f994fa9b7a6c7f8f193a6b
2026-08-15T08:06:42,1C:DB:D4:9C:E2:48,fri3d2026,F26B,COM8,07,2,ja,,beschermd_segment,2,400,50,20000,43241844,43494929,462.5150,459.8237,0,0,nvt,run02_080925.txt,fc85b5e0d6f10a765db1a4bec0d0eaec016b51a2e5f994fa9b7a6c7f8f193a6b
2026-08-15T08:06:42,1C:DB:D4:9C:E2:48,fri3d2026,F26B,COM8,07,2,ja,,zelftest_segment,2,10,50,500,1081173,1087965,462.4607,459.5736,0,1,GESLAAGD,run02_080925.txt,fc85b5e0d6f10a765db1a4bec0d0eaec016b51a2e5f994fa9b7a6c7f8f193a6b
