datum_iso,serie,bordtype,bordnaam,poort,soort,run,geldig,reden,pass_of_fase,iteraties,total_ticks,score_it_per_s,crcfinal,gevalideerd,score_regel,logbestand,log_sha256
2026-08-15T06:33:34,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,04,1,ja,,A,20000,34202579,584.751226,0x382f,ja,CoreMark 1.0 : 584.751226 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run01_063446.txt,e6f76e1f92bd6b74dd8bcedd15e716fdd85d7631428892d6634476ddba938149
2026-08-15T06:33:34,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,04,1,ja,,B,20000,34184434,585.061610,0x382f,ja,CoreMark 1.0 : 585.061610 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run01_063446.txt,e6f76e1f92bd6b74dd8bcedd15e716fdd85d7631428892d6634476ddba938149
2026-08-15T06:34:46,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,04,2,ja,,A,20000,34202585,584.751123,0x382f,ja,CoreMark 1.0 : 584.751123 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run02_063557.txt,6790ca149a0a35726b93af20b15ddbe37e18f8300b530f3d8d16ff90c511cd92
2026-08-15T06:34:46,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,04,2,ja,,B,20000,34184434,585.061610,0x382f,ja,CoreMark 1.0 : 585.061610 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run02_063557.txt,6790ca149a0a35726b93af20b15ddbe37e18f8300b530f3d8d16ff90c511cd92
2026-08-15T06:35:57,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,04,3,ja,,A,20000,34202585,584.751123,0x382f,ja,CoreMark 1.0 : 584.751123 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run03_063709.txt,6790ca149a0a35726b93af20b15ddbe37e18f8300b530f3d8d16ff90c511cd92
2026-08-15T06:35:57,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,04,3,ja,,B,20000,34184434,585.061610,0x382f,ja,CoreMark 1.0 : 585.061610 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run03_063709.txt,6790ca149a0a35726b93af20b15ddbe37e18f8300b530f3d8d16ff90c511cd92
2026-08-15T06:37:09,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,04,4,ja,,A,20000,34202578,584.751243,0x382f,ja,CoreMark 1.0 : 584.751243 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run04_063820.txt,e60bd078d509718722d3a95536e74f93029f5aa3cf61de5311bc5c9473f3c1ee
2026-08-15T06:37:09,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,04,4,ja,,B,20000,34184434,585.061610,0x382f,ja,CoreMark 1.0 : 585.061610 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run04_063820.txt,e60bd078d509718722d3a95536e74f93029f5aa3cf61de5311bc5c9473f3c1ee
2026-08-15T06:38:20,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,04,5,ja,,A,20000,34202585,584.751123,0x382f,ja,CoreMark 1.0 : 584.751123 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run05_063932.txt,56106ba67a549cd8648a1b499b1a596274bcf1994f3dc0ccb3acc994bec712b3
2026-08-15T06:38:20,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,04,5,ja,,B,20000,34184432,585.061644,0x382f,ja,CoreMark 1.0 : 585.061644 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run05_063932.txt,56106ba67a549cd8648a1b499b1a596274bcf1994f3dc0ccb3acc994bec712b3
