datum_iso,serie,bordtype,bordnaam,poort,soort,run,geldig,reden,pass_of_fase,contexts,segmenten,seg_iters,iteraties,som_ticks_us,wall_us,score_it_per_s,score_effectief,error_regels,mismatches,zelftest,logbestand,log_sha256
2026-08-15T08:17:59,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,07,1,ja,,onbeschermd_vol,1,1,20000,20000,34202519,34246117,584.7523,584.0078,0,0,nvt,run01_082042.txt,25cf4e7d54babcde90428ca79cce313d79ebf8dfadb977355f8c0a718f2e2085
2026-08-15T08:17:59,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,07,1,ja,,beschermd_duaal_vol,2,1,20000,20000,42981311,43034326,465.3185,464.7453,0,0,nvt,run01_082042.txt,25cf4e7d54babcde90428ca79cce313d79ebf8dfadb977355f8c0a718f2e2085
2026-08-15T08:17:59,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,07,1,ja,,onbeschermd_segment,1,400,50,20000,34213923,34419406,584.5573,581.0676,0,0,nvt,run01_082042.txt,25cf4e7d54babcde90428ca79cce313d79ebf8dfadb977355f8c0a718f2e2085
2026-08-15T08:17:59,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,07,1,ja,,beschermd_segment,2,400,50,20000,43241205,43494483,462.5218,459.8284,0,0,nvt,run01_082042.txt,25cf4e7d54babcde90428ca79cce313d79ebf8dfadb977355f8c0a718f2e2085
2026-08-15T08:17:59,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,07,1,ja,,zelftest_segment,2,10,50,500,1080970,1087764,462.5475,459.6585,0,1,GESLAAGD,run01_082042.txt,25cf4e7d54babcde90428ca79cce313d79ebf8dfadb977355f8c0a718f2e2085
2026-08-15T08:20:42,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,07,2,ja,,onbeschermd_vol,1,1,20000,20000,34202522,34246132,584.7522,584.0076,0,0,nvt,run02_082325.txt,a3d73d9af3ab928742e4e83192e7582e9be52cb36222b5f1665d6ac6f8c2193c
2026-08-15T08:20:42,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,07,2,ja,,beschermd_duaal_vol,2,1,20000,20000,42987787,43040806,465.2484,464.6753,0,0,nvt,run02_082325.txt,a3d73d9af3ab928742e4e83192e7582e9be52cb36222b5f1665d6ac6f8c2193c
2026-08-15T08:20:42,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,07,2,ja,,onbeschermd_segment,1,400,50,20000,34213921,34419408,584.5574,581.0675,0,0,nvt,run02_082325.txt,a3d73d9af3ab928742e4e83192e7582e9be52cb36222b5f1665d6ac6f8c2193c
2026-08-15T08:20:42,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,07,2,ja,,beschermd_segment,2,400,50,20000,43243571,43496848,462.4965,459.8034,0,0,nvt,run02_082325.txt,a3d73d9af3ab928742e4e83192e7582e9be52cb36222b5f1665d6ac6f8c2193c
2026-08-15T08:20:42,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,07,2,ja,,zelftest_segment,2,10,50,500,1081236,1088024,462.4337,459.5487,0,1,GESLAAGD,run02_082325.txt,a3d73d9af3ab928742e4e83192e7582e9be52cb36222b5f1665d6ac6f8c2193c
2026-08-15T08:23:25,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,07,3,ja,,onbeschermd_vol,1,1,20000,20000,34202523,34246123,584.7522,584.0077,0,0,nvt,run03_082608.txt,809dc055d59cfe09c6775cafb1657c71a7fccb76b43f8067c66615d5ca514407
2026-08-15T08:23:25,90:70:69:01:BA:F4,fri3d2026,F26C,COM9,07,3,ja,,beschermd_duaal_vol,2,1,20000,20000,42982132,43035147,465.3096,464.7364,0,0,nvt,run03_082608.txt,809dc055d59cfe09c6775cafb1657c71a7fccb76b43f8067c66615d5ca514407
