datum_iso,run,pass,iterations,total_ticks,iterations_per_sec,crcfinal,gevalideerd,score_regel,logbestand
2026-08-08T10:49:05,1,A,20000,34202577,584.751260,0x382f,ja,CoreMark 1.0 : 584.751260 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run01_105016.txt
2026-08-08T10:49:05,1,B,20000,34184433,585.061627,0x382f,ja,CoreMark 1.0 : 585.061627 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run01_105016.txt
2026-08-08T10:50:16,2,A,20000,34202586,584.751106,0x382f,ja,CoreMark 1.0 : 584.751106 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run02_105128.txt
2026-08-08T10:50:16,2,B,20000,34184435,585.061593,0x382f,ja,CoreMark 1.0 : 585.061593 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run02_105128.txt
2026-08-08T10:51:28,3,A,20000,34202578,584.751243,0x382f,ja,CoreMark 1.0 : 584.751243 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run03_105239.txt
2026-08-08T10:51:28,3,B,20000,34184432,585.061644,0x382f,ja,CoreMark 1.0 : 585.061644 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run03_105239.txt
2026-08-08T10:52:39,4,A,20000,34202586,584.751106,0x382f,ja,CoreMark 1.0 : 584.751106 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run04_105350.txt
2026-08-08T10:52:39,4,B,20000,34184438,585.061542,0x382f,ja,CoreMark 1.0 : 585.061542 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run04_105350.txt
2026-08-08T10:53:50,5,A,20000,34202586,584.751106,0x382f,ja,CoreMark 1.0 : 584.751106 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run05_105501.txt
2026-08-08T10:53:50,5,B,20000,34184435,585.061593,0x382f,ja,CoreMark 1.0 : 585.061593 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run05_105501.txt
2026-08-08T10:55:01,6,A,20000,34202586,584.751106,0x382f,ja,CoreMark 1.0 : 584.751106 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run06_105612.txt
2026-08-08T10:55:01,6,B,20000,34184436,585.061576,0x382f,ja,CoreMark 1.0 : 585.061576 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run06_105612.txt
2026-08-08T10:56:12,7,A,20000,34202578,584.751243,0x382f,ja,CoreMark 1.0 : 584.751243 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run07_105723.txt
2026-08-08T10:56:12,7,B,20000,34184433,585.061627,0x382f,ja,CoreMark 1.0 : 585.061627 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run07_105723.txt
2026-08-08T10:57:23,8,A,20000,34202578,584.751243,0x382f,ja,CoreMark 1.0 : 584.751243 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run08_105834.txt
2026-08-08T10:57:23,8,B,20000,34184432,585.061644,0x382f,ja,CoreMark 1.0 : 585.061644 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run08_105834.txt
2026-08-08T10:58:34,9,A,20000,34202586,584.751106,0x382f,ja,CoreMark 1.0 : 584.751106 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run09_105945.txt
2026-08-08T10:58:34,9,B,20000,34184436,585.061576,0x382f,ja,CoreMark 1.0 : 585.061576 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run09_105945.txt
2026-08-08T10:59:45,10,A,20000,34202578,584.751243,0x382f,ja,CoreMark 1.0 : 584.751243 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run10_110056.txt
2026-08-08T10:59:45,10,B,20000,34184432,585.061644,0x382f,ja,CoreMark 1.0 : 585.061644 / GCC14.2.0 -O2 ESP-IDF v5.5 / STATIC,run10_110056.txt
