datum_iso,run,fase,contexts,segmenten,seg_iters,iteraties,som_ticks_us,wall_us,score_getimed,score_effectief,error_regels,mismatches,zelftest,gevalideerd_vol,logbestand
2026-08-08T18:55:24,1,onbeschermd_vol,1,1,20000,20000,34202524,34246118,584.7522,584.0078,0,0,nvt,2,run01_185806.txt
2026-08-08T18:55:24,1,beschermd_duaal_vol,2,1,20000,20000,42986023,43039040,465.2675,464.6944,0,0,nvt,2,run01_185806.txt
2026-08-08T18:55:24,1,onbeschermd_segment,1,400,50,20000,34213926,34419415,584.5573,581.0674,0,0,nvt,2,run01_185806.txt
2026-08-08T18:55:24,1,beschermd_segment,2,400,50,20000,43246835,43500218,462.4616,459.7678,0,0,nvt,2,run01_185806.txt
2026-08-08T18:55:24,1,zelftest_segment,2,10,50,500,1080875,1087634,462.5882,459.7135,0,1,GESLAAGD,2,run01_185806.txt
2026-08-08T18:58:06,2,onbeschermd_vol,1,1,20000,20000,34202519,34246120,584.7523,584.0078,0,0,nvt,2,run02_190048.txt
2026-08-08T18:58:06,2,beschermd_duaal_vol,2,1,20000,20000,42985106,43038122,465.2774,464.7043,0,0,nvt,2,run02_190048.txt
2026-08-08T18:58:06,2,onbeschermd_segment,1,400,50,20000,34213924,34419415,584.5573,581.0674,0,0,nvt,2,run02_190048.txt
2026-08-08T18:58:06,2,beschermd_segment,2,400,50,20000,43242767,43496168,462.5051,459.8106,0,0,nvt,2,run02_190048.txt
2026-08-08T18:58:06,2,zelftest_segment,2,10,50,500,1080867,1087642,462.5916,459.7101,0,1,GESLAAGD,2,run02_190048.txt
2026-08-08T19:00:48,3,onbeschermd_vol,1,1,20000,20000,34202517,34246117,584.7523,584.0078,0,0,nvt,2,run03_190330.txt
2026-08-08T19:00:48,3,beschermd_duaal_vol,2,1,20000,20000,42983057,43036072,465.2996,464.7264,0,0,nvt,2,run03_190330.txt
2026-08-08T19:00:48,3,onbeschermd_segment,1,400,50,20000,34213932,34419407,584.5572,581.0675,0,0,nvt,2,run03_190330.txt
2026-08-08T19:00:48,3,beschermd_segment,2,400,50,20000,43245153,43498262,462.4796,459.7885,0,0,nvt,2,run03_190330.txt
2026-08-08T19:00:48,3,zelftest_segment,2,10,50,500,1081221,1087996,462.4401,459.5605,0,1,GESLAAGD,2,run03_190330.txt
2026-08-08T19:03:30,4,onbeschermd_vol,1,1,20000,20000,34202522,34246118,584.7522,584.0078,0,0,nvt,2,run04_190612.txt
2026-08-08T19:03:30,4,beschermd_duaal_vol,2,1,20000,20000,42983168,43036181,465.2984,464.7253,0,0,nvt,2,run04_190612.txt
2026-08-08T19:03:30,4,onbeschermd_segment,1,400,50,20000,34213927,34419400,584.5573,581.0677,0,0,nvt,2,run04_190612.txt
2026-08-08T19:03:30,4,beschermd_segment,2,400,50,20000,43244953,43498188,462.4817,459.7893,0,0,nvt,2,run04_190612.txt
2026-08-08T19:03:30,4,zelftest_segment,2,10,50,500,1081181,1087946,462.4573,459.5816,0,1,GESLAAGD,2,run04_190612.txt
2026-08-08T19:06:12,5,onbeschermd_vol,1,1,20000,20000,34202522,34246121,584.7522,584.0077,0,0,nvt,2,run05_190854.txt
2026-08-08T19:06:12,5,beschermd_duaal_vol,2,1,20000,20000,42977500,43030517,465.3598,464.7864,0,0,nvt,2,run05_190854.txt
2026-08-08T19:06:12,5,onbeschermd_segment,1,400,50,20000,34213938,34419415,584.5571,581.0674,0,0,nvt,2,run05_190854.txt
2026-08-08T19:06:12,5,beschermd_segment,2,400,50,20000,43236870,43490156,462.5682,459.8742,0,0,nvt,2,run05_190854.txt
2026-08-08T19:06:12,5,zelftest_segment,2,10,50,500,1081096,1087858,462.4936,459.6188,0,1,GESLAAGD,2,run05_190854.txt
2026-08-08T19:08:54,6,onbeschermd_vol,1,1,20000,20000,34202524,34246122,584.7522,584.0077,0,0,nvt,2,run06_191136.txt
2026-08-08T19:08:54,6,beschermd_duaal_vol,2,1,20000,20000,42983170,43036185,465.2984,464.7252,0,0,nvt,2,run06_191136.txt
2026-08-08T19:08:54,6,onbeschermd_segment,1,400,50,20000,34213939,34419438,584.5571,581.0670,0,0,nvt,2,run06_191136.txt
2026-08-08T19:08:54,6,beschermd_segment,2,400,50,20000,43239504,43492710,462.5400,459.8472,0,0,nvt,2,run06_191136.txt
2026-08-08T19:08:54,6,zelftest_segment,2,10,50,500,1080837,1087615,462.6044,459.7215,0,1,GESLAAGD,2,run06_191136.txt
2026-08-08T19:11:36,7,onbeschermd_vol,1,1,20000,20000,34202521,34246120,584.7522,584.0078,0,0,nvt,2,run07_191418.txt
2026-08-08T19:11:36,7,beschermd_duaal_vol,2,1,20000,20000,42978041,43031053,465.3539,464.7806,0,0,nvt,2,run07_191418.txt
